tourney_id,tourney_name,surface,draw_size,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpFaced,w_bpSaved,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpFaced,l_bpSaved,winner_rank,winner_rank_points,loser_rank,loser_rank_points,tourney_date
2021520,Roland Garros,Clay,128,864,105011,Illya Marchenko,R,185,UKR,34,105723,Andrey Kuznetsov,R,185,RUS,30,3-6 6-4 6-3,121,6,4,79,35,27,27,14,2,0,7,5,107,65,50,14,14,19,16,161,443,450,88,2021-05-31 00:00:00
2021560,Us Open,Hard,128,202,105539,Evgeny Donskoy,R,185,RUS,31,208527,Zane Khan,U,180,USA,20,6-4 5-7 7-6(4),169,11,4,120,72,51,23,0,9,6,7,4,112,69,48,23,0,9,6,152,498,457,87,2021-08-30 00:00:00
2021540,Wimbledon,Grass,128,205,126523,Bernabe Zapata Miralles,R,185,ESP,24,207760,Anton Matusevich,U,180,GBR,20,6-2 3-6 7-6(3) 6-7(6) 6-3,174,11,3,165,110,78,30,26,14,10,3,4,157,95,64,33,26,12,6,125,650,454,87,2021-06-28 00:00:00
2021520,Roland Garros,Clay,128,800,105723,Andrey Kuznetsov,R,185,RUS,30,125802,Ilya Ivashka,R,193,BLR,27,6-4 7-6(1),99,3,1,66,34,24,19,11,6,3,6,7,87,55,39,7,11,11,7,450,88,90,855,2021-05-31 00:00:00
2021540,Wimbledon,Grass,128,152,106198,Hugo Dellien,R,180,BOL,28,202420,Aidan Mchugh,U,180,GBR,21,6-2 6-1,75,1,2,47,31,22,10,7,1,1,1,4,60,43,23,5,8,11,6,135,576,466,85,2021-06-28 00:00:00
2021560,Us Open,Hard,128,164,206499,Aleksandar Kovacevic,U,180,USA,23,126127,Benjamin Bonzi,R,185,FRA,25,6-3 6-4,93,8,2,63,36,28,10,0,3,1,1,3,80,45,28,15,0,15,11,414,100,94,821,2021-08-30 00:00:00
2021520,Roland Garros,Clay,128,852,126523,Bernabe Zapata Miralles,R,185,ESP,24,208021,Kyrian Jacquet,R,180,FRA,20,4-6 6-1 6-4,109,1,1,85,51,34,19,14,7,4,1,2,80,43,26,19,13,10,5,128,631,469,82,2021-05-31 00:00:00
2021560,Us Open,Hard,128,110,202104,Sebastian Baez,R,170,ARG,21,207181,Govind Nanda,R,180,USA,20,6-3 7-5,90,2,4,61,41,28,10,0,9,6,3,2,66,46,23,9,0,11,5,155,484,483,79,2021-08-30 00:00:00
2021560,Us Open,Hard,128,197,105376,Peter Gojowczyk,R,185,GER,32,202103,Francisco Cerundolo,R,185,ARG,23,6-4 6-3,77,1,2,47,19,17,14,0,3,1,1,6,77,43,26,13,0,10,5,141,563,107,748,2021-08-30 00:00:00
2021540,Wimbledon,Grass,128,196,144642,Tomas Barrios Vera,R,191,CHI,24,111794,Kamil Majchrzak,R,183,POL,25,6-4 4-6 7-6(4) 6-3,181,8,0,140,88,59,28,22,7,3,11,2,129,79,55,23,20,11,6,209,334,104,747,2021-06-28 00:00:00
2021560,Us Open,Hard,128,108,111153,Christopher Eubanks,R,201,USA,25,123755,Daniel Elahi Galan,R,191,COL,25,6-3 6-2,62,10,2,51,35,29,8,0,4,3,4,2,39,22,14,8,0,6,2,214,325,110,741,2021-08-30 00:00:00
2021581,Australian Open,Hard,128,118,111200,Elias Ymer,R,183,SWE,25,106425,Blake Mott,U,180,AUS,25,6-4 6-3,93,3,1,52,27,21,18,10,3,3,1,4,63,43,28,9,9,6,3,204,314,478,74,2021-01-10 00:00:00
2021540,Wimbledon,Grass,128,178,134868,Tallon Griekspoor,R,188,NED,25,208278,Shintaro Mochizuki,R,180,JPN,18,6-0 6-1,44,5,0,45,35,23,5,7,4,3,1,4,42,27,12,2,6,12,6,124,673,499,74,2021-06-28 00:00:00
2021520,Roland Garros,Clay,128,812,127339,Borna Gojo,R,196,CRO,23,105155,Pedro Sousa,R,180,POR,33,4-6 7-6(6) 1-1 RET,114,5,1,93,57,41,19,12,10,8,0,4,80,45,34,18,12,2,1,233,282,112,726,2021-05-31 00:00:00
2021520,Roland Garros,Clay,128,808,106408,Mario Vilella Martinez,R,178,ESP,26,110602,Dennis Novak,R,183,AUT,28,1-6 6-2 6-2,90,3,5,85,55,35,16,12,10,7,1,1,59,43,25,10,11,4,0,183,393,111,726,2021-05-31 00:00:00
2021540,Wimbledon,Grass,128,168,105208,Ernests Gulbis,R,190,LAT,33,105413,Andrej Martin,R,180,SVK,32,6-1 6-2,74,5,5,59,34,26,13,8,5,5,0,2,44,30,17,4,7,7,3,190,365,111,710,2021-06-28 00:00:00
2021560,Us Open,Hard,128,200,106214,Oscar Otte,R,196,GER,28,126523,Bernabe Zapata Miralles,R,185,ESP,25,6-4 3-6 6-3,119,10,8,89,45,36,15,0,8,3,4,4,90,53,32,16,0,11,5,144,543,116,702,2021-08-30 00:00:00
2021540,Wimbledon,Grass,128,183,207760,Anton Matusevich,U,180,GBR,20,126535,Carlos Taberner,R,183,ESP,24,6-4 6-1,64,3,2,55,29,24,15,9,3,3,3,2,49,29,20,9,8,7,4,454,87,113,700,2021-06-28 00:00:00
2021540,Wimbledon,Grass,128,200,106214,Oscar Otte,R,196,GER,28,106034,Yasutaka Uchiyama,R,183,JPN,29,7-6(6) 6-3 6-3,121,17,4,90,60,50,17,16,6,5,1,1,99,57,37,23,15,8,4,151,479,116,697,2021-06-28 00:00:00
2021540,Wimbledon,Grass,128,199,111190,Zhizhen Zhang,R,193,CHN,25,202103,Francisco Cerundolo,R,185,ARG,23,6-0 6-3 6-7(4) 7-6(6),140,11,2,128,93,69,16,20,8,6,4,10,122,78,46,22,21,10,3,175,412,117,694,2021-06-28 00:00:00
2021520,Roland Garros,Clay,128,903,105561,Alessandro Giannessi,L,183,ITA,31,202103,Francisco Cerundolo,R,185,ARG,23,6-4 3-6 6-2,118,0,5,86,54,40,14,14,7,5,2,1,87,62,34,17,13,5,1,159,458,117,688,2021-05-31 00:00:00
2021560,Us Open,Hard,128,176,208527,Zane Khan,U,180,USA,20,106000,Damir Dzumhur,R,172,BIH,29,6-2 7-6(5),92,7,1,64,39,26,17,0,2,1,3,4,71,44,28,12,0,6,3,457,87,120,678,2021-08-30 00:00:00
2021560,Us Open,Hard,128,128,200390,Kacper Zuk,R,183,POL,23,106034,Yasutaka Uchiyama,R,183,JPN,29,7-5 7-6(7),107,9,3,76,43,33,19,0,4,3,6,3,73,37,25,22,0,2,0,173,428,123,665,2021-08-30 00:00:00
2021560,Us Open,Hard,128,132,200267,Zizou Bergs,R,185,BEL,22,122669,Juan Pablo Varillas,R,185,PER,26,2-6 6-1 7-6(5),140,4,7,105,61,44,20,0,10,7,5,1,83,44,32,19,0,6,3,200,361,124,663,2021-08-30 00:00:00
2021520,Roland Garros,Clay,128,882,145001,Evan Furness,R,180,FRA,23,106045,Denis Kudla,R,180,USA,29,5-7 7-6(2) 6-4,169,7,3,133,99,66,14,17,19,14,7,3,121,71,49,20,17,14,9,327,151,120,662,2021-05-31 00:00:00
2021581,Australian Open,Hard,128,196,106393,Frederico Ferreira Silva,L,178,POR,26,106296,Gregoire Barrere,R,183,FRA,27,6-3 6-4,103,4,0,62,41,28,16,10,5,4,4,3,70,37,28,10,9,7,4,182,356,110,654,2021-01-10 00:00:00
2021581,Australian Open,Hard,128,197,207989,Carlos Alcaraz,R,185,ESP,18,106198,Hugo Dellien,R,180,BOL,28,6-2 6-3,82,2,2,65,45,33,6,9,6,4,0,3,41,27,15,2,8,8,3,141,464,111,646,2021-01-10 00:00:00
2021520,Roland Garros,Clay,128,848,104678,Viktor Troicki,R,193,SRB,35,205734,Thiago Seyboth Wild,R,185,BRA,21,0-6 7-6(6) 7-6(5),139,6,0,115,84,55,14,15,6,2,5,2,84,56,45,17,15,1,0,206,339,121,645,2021-05-31 00:00:00
2021540,Wimbledon,Grass,128,184,105477,Marco Trungelliti,R,178,ARG,31,205734,Thiago Seyboth Wild,R,185,BRA,21,6-3 6-7(3) 7-5,142,12,4,112,71,50,25,18,4,3,7,4,102,65,45,22,16,10,7,205,341,126,643,2021-06-28 00:00:00
2021520,Roland Garros,Clay,128,907,106214,Oscar Otte,R,196,GER,28,106198,Hugo Dellien,R,180,BOL,28,6-2 6-0,56,7,1,51,35,25,9,7,4,4,0,0,42,38,16,1,7,8,3,152,485,124,639,2021-05-31 00:00:00
2021520,Roland Garros,Clay,128,840,104797,Denis Istomin,R,188,UZB,35,106000,Damir Dzumhur,R,172,BIH,29,2-6 6-2 6-1,91,4,3,83,47,30,22,12,9,7,1,1,60,40,26,8,11,5,1,204,343,125,638,2021-05-31 00:00:00
2021520,Roland Garros,Clay,128,910,126128,Roman Safiullin,R,185,RUS,24,106075,Jozef Kovalik,R,183,SVK,28,6-1 6-7(3) 6-3,135,6,3,103,70,48,21,14,5,4,9,2,85,49,29,21,14,10,6,182,393,127,634,2021-05-31 00:00:00
2021560,Us Open,Hard,128,182,121531,Mats Moraing,L,198,GER,29,106331,Christopher Oconnell,R,183,AUS,27,7-6(3) 6-1,79,18,1,65,36,27,20,0,0,0,7,2,64,37,26,13,0,5,3,242,280,126,634,2021-08-30 00:00:00
2021540,Wimbledon,Grass,128,148,106368,Ramkumar Ramanathan,R,188,IND,27,106075,Jozef Kovalik,R,183,SVK,29,6-3 6-0,60,5,1,47,34,28,8,8,2,2,0,1,56,35,16,9,7,8,4,211,330,127,633,2021-06-28 00:00:00
2021560,Us Open,Hard,128,184,105074,Ruben Bemelmans,L,183,BEL,34,200384,Hugo Gaston,L,173,FRA,21,6-1 6-1,57,2,3,39,17,15,15,0,1,1,1,3,51,28,16,6,0,8,3,222,305,127,632,2021-08-30 00:00:00
2021581,Australian Open,Hard,128,142,200265,Ulises Blanch,R,188,USA,23,105723,Andrey Kuznetsov,R,185,RUS,30,6-4 6-1,76,8,2,52,25,21,15,9,1,0,3,4,56,30,19,10,8,9,5,246,224,517,63,2021-01-10 00:00:00
2021540,Wimbledon,Grass,128,186,144684,Alex Molcan,L,178,SVK,24,106000,Damir Dzumhur,R,172,BIH,29,6-2 7-6(2),92,1,0,67,43,28,13,11,11,8,2,3,69,41,27,9,10,11,6,158,454,128,626,2021-06-28 00:00:00
2021560,Us Open,Hard,128,144,200265,Ulises Blanch,R,188,USA,23,105155,Pedro Sousa,R,180,POR,33,6-4 6-4,85,9,4,70,40,33,15,0,3,3,6,2,73,41,32,13,0,8,6,256,258,128,625,2021-08-30 00:00:00
2021560,Us Open,Hard,128,208,126156,Antoine Hoang,R,183,FRA,26,105062,Mikhail Kukushkin,R,183,KAZ,34,0-6 7-6(6) 7-5,161,4,8,95,49,35,22,0,8,4,4,3,84,53,41,18,0,2,0,150,505,129,614,2021-08-30 00:00:00
2021560,Us Open,Hard,128,210,103333,Ivo Karlovic,R,208,CRO,42,105216,Yuichi Sugita,R,173,JPN,33,6-3 7-6(5),81,25,1,61,41,36,11,0,2,1,1,1,65,47,31,12,0,6,4,221,309,131,612,2021-08-30 00:00:00
2021581,Australian Open,Hard,128,170,208013,Dane Sweeny,R,170,AUS,20,106045,Denis Kudla,R,180,USA,28,W/O,85,,,,,,,,,,,,,,,,,,,794,22,114,608,2021-01-10 00:00:00
2021560,Us Open,Hard,128,194,117356,Cem Ilkel,R,185,TUR,26,104269,Fernando Verdasco,L,188,ESP,38,4-6 6-3 6-4,144,7,5,94,56,42,22,0,6,4,6,2,105,71,46,17,0,13,10,188,381,132,606,2021-08-30 00:00:00
2021540,Wimbledon,Grass,128,115,111190,Zhizhen Zhang,R,193,CHN,25,122669,Juan Pablo Varillas,R,185,PER,26,6-1 6-1,48,2,0,38,23,21,8,7,1,1,0,0,42,27,13,4,7,8,3,175,412,132,602,2021-06-28 00:00:00
2021520,Roland Garros,Clay,128,861,105967,Henri Laaksonen,R,185,SUI,29,209414,Luca Van Assche,R,180,FRA,17,7-5 6-3,102,6,3,79,42,29,19,11,8,6,2,1,80,39,21,22,10,12,7,150,498,1211,6,2021-05-31 00:00:00
2021540,Wimbledon,Grass,128,176,126239,Arthur Rinderknech,R,196,FRA,26,209957,Jack Pinnington Jones,R,180,GBR,18,6-3 6-2,56,10,1,47,32,29,8,9,1,1,0,3,48,29,17,10,8,4,1,109,734,1195,6,2021-06-28 00:00:00
2021540,Wimbledon,Grass,128,159,105359,Jason Jung,R,178,TPE,32,105376,Peter Gojowczyk,R,185,GER,32,6-3 7-6(4),80,7,3,78,51,41,11,12,6,4,2,2,58,28,18,18,10,6,3,160,440,133,598,2021-06-28 00:00:00
2021520,Roland Garros,Clay,128,894,105967,Henri Laaksonen,R,185,SUI,29,122669,Juan Pablo Varillas,R,185,PER,26,4-6 6-1 7-5,135,3,4,91,48,37,20,15,7,4,3,3,99,47,26,28,14,12,7,150,498,130,596,2021-05-31 00:00:00
2021581,Australian Open,Hard,128,200,111200,Elias Ymer,R,183,SWE,25,106121,Taro Daniel,R,191,JPN,28,6-1 6-2,99,2,1,55,27,21,17,8,6,6,0,2,65,36,20,11,7,10,6,204,314,116,591,2021-01-10 00:00:00
2021581,Australian Open,Hard,128,120,104898,Robin Haase,R,190,NED,34,205734,Thiago Seyboth Wild,R,185,BRA,21,3-6 6-4 7-6(8),176,9,2,92,52,42,24,16,4,2,9,4,112,78,56,18,15,9,7,198,330,117,589,2021-01-10 00:00:00
2021520,Roland Garros,Clay,128,879,105561,Alessandro Giannessi,L,183,ITA,31,134868,Tallon Griekspoor,R,188,NED,25,7-5 7-5,102,2,2,72,47,36,12,12,6,4,1,1,67,42,30,9,12,4,0,159,458,131,589,2021-05-31 00:00:00
2020520,Roland Garros,Clay,128,100,105877,Emilio Gomez,R,185,ECU,29,205734,Thiago Seyboth Wild,R,185,BRA,20,6-3 6-2,79,1,1,49,29,24,13,9,0,0,1,3,56,29,17,14,8,8,5,156,365,107,586,2020-09-28 00:00:00
2021560,Us Open,Hard,128,193,103333,Ivo Karlovic,R,208,CRO,42,106198,Hugo Dellien,R,180,BOL,28,7-5 6-7(1) 6-2,121,23,4,81,58,52,11,0,2,1,4,1,97,81,58,6,0,10,6,221,309,137,579,2021-08-30 00:00:00
2021540,Wimbledon,Grass,128,190,109054,Daniel Masur,R,183,GER,27,106198,Hugo Dellien,R,180,BOL,28,6-3 7-6(4),93,4,4,74,55,42,7,12,1,0,3,1,79,60,34,13,10,8,6,222,316,135,576,2021-06-28 00:00:00
2021581,Australian Open,Hard,128,202,106293,Kimmer Coppejans,R,180,BEL,27,106000,Damir Dzumhur,R,172,BIH,29,6-2 6-0,59,1,1,35,24,19,9,7,0,0,0,2,40,26,11,6,7,8,3,175,368,118,572,2021-01-10 00:00:00
2021520,Roland Garros,Clay,128,851,105641,Blaz Rola,L,193,SLO,31,126156,Antoine Hoang,R,183,FRA,26,6-3 7-6(3),110,7,2,71,40,32,17,11,4,2,1,7,72,45,27,13,10,8,5,155,476,133,570,2021-05-31 00:00:00
2021560,Us Open,Hard,128,199,111794,Kamil Majchrzak,R,183,POL,26,200514,Jurij Rodionov,L,191,AUT,22,6-1 6-2,56,5,0,40,27,24,8,0,0,0,2,3,36,15,9,8,0,7,3,114,719,140,570,2021-08-30 00:00:00
2021540,Wimbledon,Grass,128,155,124116,Sebastian Ofner,R,191,AUT,25,105649,Cedrik Marcel Stebe,L,183,GER,31,6-2 6-3,58,5,2,43,24,19,11,8,1,0,2,2,51,31,16,9,9,8,3,171,422,136,570,2021-06-28 00:00:00
2021520,Roland Garros,Clay,128,898,106408,Mario Vilella Martinez,R,178,ESP,26,105376,Peter Gojowczyk,R,185,GER,32,4-6 6-3 6-2,97,8,4,82,54,39,17,14,11,9,5,5,79,38,27,19,13,7,3,183,393,134,566,2021-05-31 00:00:00
2021520,Roland Garros,Clay,128,839,202385,Jenson Brooksby,R,188,USA,20,105649,Cedrik Marcel Stebe,L,183,GER,31,6-1 6-0,64,2,0,43,30,21,9,7,1,1,0,1,60,38,14,11,6,14,9,163,437,135,562,2021-05-31 00:00:00
2021540,Wimbledon,Grass,128,117,104534,Dudi Sela,R,175,ISR,36,206912,Stuart Parker,R,180,GBR,24,6-4 3-6 7-5,118,0,4,110,70,45,26,15,7,6,6,0,83,57,47,13,16,4,2,315,161,570,56,2021-06-28 00:00:00
2021581,Australian Open,Hard,128,178,126239,Arthur Rinderknech,R,196,FRA,25,126156,Antoine Hoang,R,183,FRA,25,7-6(2) 6-4,131,5,2,85,55,39,16,11,5,4,2,5,73,43,29,17,11,9,7,178,365,121,558,2021-01-10 00:00:00
2021520,Roland Garros,Clay,128,881,105477,Marco Trungelliti,R,178,ARG,31,105539,Evgeny Donskoy,R,185,RUS,31,6-7(8) 6-2 6-3,153,3,0,93,62,43,17,15,5,2,5,3,122,60,42,23,14,17,11,237,278,136,555,2021-05-31 00:00:00
2021540,Wimbledon,Grass,128,119,106214,Oscar Otte,R,196,GER,28,105967,Henri Laaksonen,R,185,SUI,29,6-4 6-4,66,6,2,56,40,31,10,10,0,0,3,4,54,34,28,7,10,3,1,151,479,137,552,2021-06-28 00:00:00
2020580,Australian Open,Hard,128,104,208014,Rinky Hijikata,U,180,AUS,19,105967,Henri Laaksonen,R,185,SUI,28,7-6(0) 7-6(3),94,2,1,75,51,39,16,12,1,0,9,2,79,40,27,24,12,4,3,737,23,102,550,2020-01-20 00:00:00
2021560,Us Open,Hard,128,123,111505,Enzo Couacaud,R,183,FRA,26,144869,Tomas Martin Etcheverry,R,196,ARG,22,7-5 6-3,101,10,4,69,39,33,13,0,2,1,5,3,64,45,32,6,0,5,2,189,380,142,549,2021-08-30 00:00:00
2021581,Australian Open,Hard,128,132,111190,Zhizhen Zhang,R,193,CHN,24,105539,Evgeny Donskoy,R,185,RUS,31,7-5 6-3,87,6,2,58,31,24,18,11,1,0,2,0,62,37,22,15,10,4,1,169,389,122,548,2021-01-10 00:00:00
2021520,Roland Garros,Clay,128,819,120424,Yannick Maden,R,185,GER,32,105943,Federico Gaio,R,180,ITA,29,6-4 6-4,98,0,1,73,51,34,11,10,9,7,4,3,68,36,21,16,10,13,9,202,346,138,548,2021-05-31 00:00:00
2021520,Roland Garros,Clay,128,807,106293,Kimmer Coppejans,R,180,BEL,27,206909,Brandon Nakashima,R,185,USA,20,6-7(1) 7-5 7-5,165,7,2,139,101,62,19,18,15,10,5,1,112,64,42,21,18,18,11,174,407,139,547,2021-05-31 00:00:00
2021560,Us Open,Hard,128,155,126237,Gian Marco Moroni,R,185,ITA,24,207830,Tomas Machac,R,183,CZE,21,7-5 6-4,97,6,2,72,49,35,15,0,5,4,2,0,66,38,22,18,0,7,4,253,263,143,547,2021-08-30 00:00:00
2021581,Australian Open,Hard,128,136,106368,Ramkumar Ramanathan,R,188,IND,26,105487,Facundo Bagnis,L,183,ARG,31,7-6(6) 7-5,113,11,4,72,40,34,16,12,1,0,0,6,78,42,28,20,12,3,1,188,345,125,543,2021-01-10 00:00:00
2021520,Roland Garros,Clay,128,871,109739,Maximilian Marterer,L,191,GER,26,110748,Nikola Milojevic,R,188,SRB,26,6-1 6-1,65,0,2,44,28,21,10,7,4,4,2,2,42,21,10,9,7,7,2,215,322,140,540,2021-05-31 00:00:00
2021540,Wimbledon,Grass,128,206,105477,Marco Trungelliti,R,178,ARG,31,122298,Botic Van De Zandschulp,R,188,NED,26,6-3 4-6 7-6(5) 7-5,194,8,7,157,94,68,33,22,24,20,14,4,123,83,65,16,22,5,0,205,341,139,540,2021-06-28 00:00:00
2020580,Australian Open,Hard,128,195,106005,Constant Lestienne,R,180,FRA,28,106425,Blake Mott,U,180,AUS,24,6-4 6-4,85,4,3,68,42,28,13,10,6,4,4,0,54,40,25,6,10,5,1,225,213,508,54,2020-01-20 00:00:00
2021540,Wimbledon,Grass,128,135,106393,Frederico Ferreira Silva,L,178,POR,26,105539,Evgeny Donskoy,R,185,RUS,31,7-5 6-3,75,1,0,73,51,35,13,11,6,5,5,1,48,26,21,9,10,4,1,176,410,140,537,2021-06-28 00:00:00
2020520,Roland Garros,Clay,128,108,111200,Elias Ymer,R,183,SWE,24,106331,Christopher Oconnell,R,183,AUS,26,7-5 6-4,115,3,1,77,45,31,16,11,7,5,3,2,81,58,38,7,11,8,4,188,299,112,536,2020-09-28 00:00:00
2020580,Australian Open,Hard,128,170,200611,Elliot Benchetrit,R,193,FRA,21,200325,Emil Ruusuvuori,R,188,FIN,21,6-4 0-6 7-6(3),134,10,2,107,63,38,25,14,12,8,9,4,100,61,46,16,14,10,8,231,205,104,534,2020-01-20 00:00:00
2020580,Australian Open,Hard,128,168,106293,Kimmer Coppejans,R,180,BEL,26,111790,Brayden Schnur,R,193,CAN,24,7-6(3) 6-3,91,8,2,72,48,36,14,11,3,2,2,2,62,45,30,10,10,2,0,158,328,103,534,2020-01-20 00:00:00
2021581,Australian Open,Hard,128,206,104678,Viktor Troicki,R,193,SRB,35,105649,Cedrik Marcel Stebe,L,183,GER,30,6-4 6-2,87,3,2,50,31,24,9,9,3,1,2,5,58,33,20,8,9,10,5,202,326,126,534,2021-01-10 00:00:00
2021520,Roland Garros,Clay,128,843,104735,Tobias Kamke,R,180,GER,35,200514,Jurij Rodionov,L,191,AUT,22,6-4 6-0,73,3,1,48,34,25,9,8,5,4,0,2,55,35,19,7,8,11,6,240,273,142,530,2021-05-31 00:00:00
2020580,Australian Open,Hard,128,172,106288,Mathias Bourgue,R,188,FRA,26,105413,Andrej Martin,R,180,SVK,30,4-6 7-6(5) 7-5,174,9,5,124,76,59,22,17,9,7,3,2,116,73,48,27,17,4,2,243,193,105,528,2020-01-20 00:00:00
2021520,Roland Garros,Clay,128,877,126214,Alejandro Tabilo,L,188,CHI,24,111576,Sumit Nagal,R,178,IND,24,6-3 6-3,90,1,3,49,26,19,12,9,2,0,0,2,80,59,29,10,9,10,5,166,430,143,528,2021-05-31 00:00:00
2020520,Roland Garros,Clay,128,112,104586,Lukas Rosol,R,196,CZE,35,105155,Pedro Sousa,R,180,POR,32,6-7(4) 6-2 6-4,103,8,0,91,53,41,23,15,3,2,4,3,87,54,32,21,15,7,3,176,327,113,528,2020-09-28 00:00:00
2021540,Wimbledon,Grass,128,103,111505,Enzo Couacaud,R,183,FRA,26,207678,Juan Manuel Cerundolo,L,183,ARG,20,4-6 6-2 6-3,93,8,3,75,44,35,15,14,4,1,0,3,85,50,28,17,13,8,3,164,429,141,527,2021-06-28 00:00:00
2021520,Roland Garros,Clay,128,803,131905,Manuel Guinard,U,180,FRA,26,207830,Tomas Machac,R,183,CZE,21,6-3 6-3,73,2,4,58,40,27,8,9,4,2,0,2,59,45,25,4,9,8,3,298,189,144,524,2021-05-31 00:00:00
2020580,Australian Open,Hard,128,201,105633,Mohamed Safwat,R,183,EGY,29,105539,Evgeny Donskoy,R,185,RUS,30,7-5 6-4,88,5,1,74,41,32,20,11,5,5,10,0,66,36,27,18,11,8,6,173,291,106,522,2020-01-20 00:00:00
2021560,Us Open,Hard,128,165,105477,Marco Trungelliti,R,178,ARG,32,106281,Liam Broady,L,183,GBR,28,6-4 6-4,75,11,2,54,27,24,18,0,1,1,1,2,52,37,26,9,0,2,0,198,361,147,522,2021-08-30 00:00:00
2020520,Roland Garros,Clay,128,120,111505,Enzo Couacaud,R,183,FRA,26,106045,Denis Kudla,R,180,USA,28,7-5 7-6(2),120,8,2,77,45,34,18,12,8,6,1,2,97,60,35,21,12,9,6,195,286,115,521,2020-09-28 00:00:00
2020520,Roland Garros,Clay,128,190,105074,Ruben Bemelmans,L,183,BEL,33,208021,Kyrian Jacquet,R,180,FRA,19,6-4 6-3,73,5,1,51,29,24,14,10,4,4,8,3,62,36,24,12,9,6,3,224,240,540,52,2020-09-28 00:00:00
2020520,Roland Garros,Clay,128,202,200624,Sebastian Korda,R,196,USA,20,106234,Aslan Karatsev,R,185,RUS,27,7-5 6-2,90,3,0,70,47,32,14,10,9,7,1,2,64,35,20,12,10,10,5,213,252,116,519,2020-09-28 00:00:00
2021581,Australian Open,Hard,128,186,106005,Constant Lestienne,R,180,FRA,29,105432,Prajnesh Gunneswaran,L,188,IND,31,6-2 6-3,85,4,1,56,32,25,12,9,3,2,5,1,66,40,22,12,8,15,11,227,255,128,516,2021-01-10 00:00:00
2020580,Australian Open,Hard,128,176,125802,Ilya Ivashka,R,193,BLR,26,106045,Denis Kudla,R,180,USA,27,7-6(5) 5-7 7-5,158,9,2,117,73,45,25,18,10,5,4,3,109,69,44,22,18,9,4,149,354,108,516,2020-01-20 00:00:00
2021581,Australian Open,Hard,128,148,122298,Botic Van De Zandschulp,R,188,NED,25,207518,Lorenzo Musetti,R,185,ITA,19,3-6 6-1 6-4,116,4,5,69,37,29,16,13,2,0,5,3,87,60,30,19,13,8,4,156,423,129,514,2021-01-10 00:00:00
2021520,Roland Garros,Clay,128,893,126128,Roman Safiullin,R,185,RUS,24,106281,Liam Broady,L,183,GBR,27,6-1 6-3,71,2,1,41,23,21,12,8,1,1,3,3,53,33,18,9,8,13,9,182,393,146,514,2021-05-31 00:00:00
2021520,Roland Garros,Clay,128,911,105967,Henri Laaksonen,R,185,SUI,29,207678,Juan Manuel Cerundolo,L,183,ARG,20,6-7(5) 6-3 7-6(7),151,16,5,128,65,46,34,17,13,10,1,1,119,100,60,13,16,11,7,150,498,147,513,2021-05-31 00:00:00
2021560,Us Open,Hard,128,131,105208,Ernests Gulbis,R,190,LAT,33,117360,Marc Polmans,R,188,AUS,24,6-3 6-4,102,12,8,67,34,30,15,0,2,2,3,3,56,36,26,9,0,5,3,205,353,148,512,2021-08-30 00:00:00
2020520,Roland Garros,Clay,128,178,105723,Andrey Kuznetsov,R,185,RUS,30,106121,Taro Daniel,R,191,JPN,28,6-2 3-6 7-5,114,4,2,78,43,32,21,15,5,3,2,3,87,57,42,12,14,5,1,573,45,117,511,2020-09-28 00:00:00
2021540,Wimbledon,Grass,128,211,106331,Christopher Oconnell,R,183,AUS,27,207830,Tomas Machac,R,183,CZE,21,7-6(6) 6-4 7-6(4),147,12,1,116,73,57,27,18,5,4,3,0,119,90,60,20,18,9,7,130,609,144,507,2021-06-28 00:00:00
2021581,Australian Open,Hard,128,152,106071,Bernard Tomic,R,193,AUS,28,106075,Jozef Kovalik,R,183,SVK,28,6-4 3-6 6-4,132,8,0,84,53,40,19,15,2,1,8,1,95,66,48,14,14,7,5,228,253,131,506,2021-01-10 00:00:00
2021520,Roland Garros,Clay,128,909,126523,Bernabe Zapata Miralles,R,185,ESP,24,117360,Marc Polmans,R,188,AUS,24,6-4 6-0,81,0,3,56,35,21,11,8,8,5,0,0,49,28,10,8,8,11,4,128,631,149,505,2021-05-31 00:00:00
2020520,Roland Garros,Clay,128,132,106408,Mario Vilella Martinez,R,178,ESP,25,105539,Evgeny Donskoy,R,185,RUS,30,6-3 7-5,87,8,4,66,38,34,11,11,1,0,4,2,64,38,26,11,10,8,5,183,316,119,505,2020-09-28 00:00:00
2021560,Us Open,Hard,128,135,103893,Paolo Lorenzi,R,183,ITA,40,105311,Joao Sousa,R,185,POR,32,7-6(5) 1-6 7-5,161,10,6,107,51,39,23,0,15,10,12,2,101,57,45,21,0,7,3,187,381,149,505,2021-08-30 00:00:00
2020580,Australian Open,Hard,128,132,105477,Marco Trungelliti,R,178,ARG,30,104424,Go Soeda,R,178,JPN,35,6-4 6-4,82,2,1,61,30,21,17,10,4,2,2,0,58,36,20,12,10,6,2,202,238,111,501,2020-01-20 00:00:00
